,0,1,2,3,4,5
183,2019-10-14,GLOBAL,นาย บุญยง ธัญญะวุฒิ,"47,663,228",15.30,1.19
184,2019-10-14,GPSC,บริษัท  พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),"340,565,223",78.50,22.73
185,2019-10-14,GPSC,บริษัท  ปตท. จำกัด (มหาชน),"338,266,861",78.50,22.58
186,2019-10-14,GPSC,บริษัท  ไทยออยล์เพาเวอร์ จำกัด,"311,425,457",78.50,20.79
187,2019-10-14,GPSC,บริษัท  ไทยออยล์ จำกัด (มหาชน),"133,468,059",78.50,8.91
188,2019-10-14,GPSC,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"32,693,903",78.50,2.18
189,2019-10-14,GPSC,สำนักงานประกันสังคม,"24,970,400",78.50,1.67
190,2019-10-14,GPSC,กองทุนเปิด  บัวหลวงหุ้นระยะยาว,"16,039,700",78.50,1.07
191,2019-10-14,GPSC,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"11,597,900",78.50,0.77
192,2019-10-14,GULF,นาย สารัชถ์ รัตนาวะดี,"755,999,994",167.00,35.44
193,2019-10-14,GULF,UBS AG SINGAPORE BRANCH,"255,302,002",167.00,11.97
194,2019-10-14,GULF,GULF CAPITAL HOLDINGS LIMITED,"223,515,000",167.00,10.48
195,2019-10-14,GULF,GULF INVESTMENT AND TRADING PTE. LTD.,"159,000,002",167.00,7.45
196,2019-10-14,GULF,บริษัท  กัลฟ์ โฮลดิ้ง (ประเทศไทย) จำกัด,"100,000,002",167.00,4.69
197,2019-10-14,GULF,ASIAN DEVELOPMENT BANK,"64,000,000",167.00,3.00
198,2019-10-14,GULF,BANK OF SINGAPORE LIMITED-THB SEG AC,"59,003,100",167.00,2.77
199,2019-10-14,GULF,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"56,982,034",167.00,2.67
200,2019-10-14,GULF,ธนาคาร  กรุงเทพ จำกัด (มหาชน),"47,500,000",167.00,2.23
